Tempo,Corpos,Cores,Movimento,Complexidade
26.13611, 600, 1, 100,Quadratico
26.277072, 600, 1, 100,Quadratico
26.396376, 600, 1, 100,Quadratico
26.160749, 600, 1, 100,Quadratico
26.28069, 600, 1, 100,Quadratico
26.224243, 600, 1, 100,Quadratico
26.239931, 600, 1, 100,Quadratico
26.155385, 600, 1, 100,Quadratico
26.181333, 600, 1, 100,Quadratico
26.154124, 600, 1, 100,Quadratico
26.328774, 600, 1, 100,Quadratico
26.202906, 600, 1, 100,Quadratico
26.13716, 600, 1, 100,Quadratico
26.221281, 600, 1, 100,Quadratico
26.176437, 600, 1, 100,Quadratico
26.203189, 600, 1, 100,Quadratico
26.215954, 600, 1, 100,Quadratico
26.264485, 600, 1, 100,Quadratico
26.309958, 600, 1, 100,Quadratico
26.189297, 600, 1, 100,Quadratico
26.161833, 600, 1, 100,Quadratico
26.138707, 600, 1, 100,Quadratico
30.588966, 600, 1, 100,Quadratico
26.298668, 600, 1, 100,Quadratico
26.20405, 600, 1, 100,Quadratico
26.60432, 600, 1, 100,Quadratico
26.18035, 600, 1, 100,Quadratico
26.17456, 600, 1, 100,Quadratico
26.253839, 600, 1, 100,Quadratico
26.12532, 600, 1, 100,Quadratico
26.274117, 600, 1, 100,Quadratico
26.197129, 600, 1, 100,Quadratico
26.163607, 600, 1, 100,Quadratico
26.212013, 600, 1, 100,Quadratico
26.223714, 600, 1, 100,Quadratico
26.194221, 600, 1, 100,Quadratico
26.185357, 600, 1, 100,Quadratico
26.173081, 600, 1, 100,Quadratico
26.212717, 600, 1, 100,Quadratico
26.197011, 600, 1, 100,Quadratico
26.170009, 600, 1, 100,Quadratico
26.163407, 600, 1, 100,Quadratico
26.249944, 600, 1, 100,Quadratico
26.215801, 600, 1, 100,Quadratico
28.696816, 600, 1, 100,Quadratico
26.163951, 600, 1, 100,Quadratico
26.342733, 600, 1, 100,Quadratico
26.26211, 600, 1, 100,Quadratico
26.138869, 600, 1, 100,Quadratico
26.138869, 600, 1, 100,Quadratico
26.13611, 600, 1, 100,Quadratico
26.277072, 600, 1, 100,Quadratico
26.396376, 600, 1, 100,Quadratico
26.160749, 600, 1, 100,Quadratico
26.28069, 600, 1, 100,Quadratico
26.224243, 600, 1, 100,Quadratico
26.239931, 600, 1, 100,Quadratico
26.155385, 600, 1, 100,Quadratico
26.181333, 600, 1, 100,Quadratico
26.154124, 600, 1, 100,Quadratico
26.328774, 600, 1, 100,Quadratico
26.202906, 600, 1, 100,Quadratico
26.13716, 600, 1, 100,Quadratico
26.221281, 600, 1, 100,Quadratico
26.176437, 600, 1, 100,Quadratico
26.203189, 600, 1, 100,Quadratico
26.215954, 600, 1, 100,Quadratico
26.264485, 600, 1, 100,Quadratico
26.309958, 600, 1, 100,Quadratico
26.189297, 600, 1, 100,Quadratico
26.161833, 600, 1, 100,Quadratico
26.138707, 600, 1, 100,Quadratico
30.588966, 600, 1, 100,Quadratico
26.298668, 600, 1, 100,Quadratico
26.20405, 600, 1, 100,Quadratico
26.60432, 600, 1, 100,Quadratico
26.18035, 600, 1, 100,Quadratico
26.17456, 600, 1, 100,Quadratico
26.253839, 600, 1, 100,Quadratico
26.12532, 600, 1, 100,Quadratico
26.274117, 600, 1, 100,Quadratico
26.197129, 600, 1, 100,Quadratico
26.163607, 600, 1, 100,Quadratico
26.212013, 600, 1, 100,Quadratico
26.223714, 600, 1, 100,Quadratico
26.194221, 600, 1, 100,Quadratico
26.185357, 600, 1, 100,Quadratico
26.173081, 600, 1, 100,Quadratico
26.212717, 600, 1, 100,Quadratico
26.197011, 600, 1, 100,Quadratico
26.170009, 600, 1, 100,Quadratico
26.163407, 600, 1, 100,Quadratico
26.249944, 600, 1, 100,Quadratico
26.215801, 600, 1, 100,Quadratico
28.696816, 600, 1, 100,Quadratico
26.163951, 600, 1, 100,Quadratico
26.342733, 600, 1, 100,Quadratico
26.26211, 600, 1, 100,Quadratico
