Tempo,Corpos,Cores,Movimento,Nucleos
0.10966, 100 ,2, 100,Dois
0.109754, 100 ,2, 100,Dois
0.106546, 100 ,2, 100,Dois
0.120939, 100 ,2, 100,Dois
0.107532, 100 ,2, 100,Dois
0.11087, 100 ,2, 100,Dois
0.118237, 100 ,2, 100,Dois
0.117985, 100 ,2, 100,Dois
0.117325, 100 ,2, 100,Dois
0.097503, 100 ,2, 100,Dois
0.112698, 100 ,2, 100,Dois
0.109161, 100 ,2, 100,Dois
0.112781, 100 ,2, 100,Dois
0.113344, 100 ,2, 100,Dois
0.103361, 100 ,2, 100,Dois
0.114033, 100 ,2, 100,Dois
0.111935, 100 ,2, 100,Dois
0.105832, 100 ,2, 100,Dois
0.103639, 100 ,2, 100,Dois
0.113502, 100 ,2, 100,Dois
0.101841, 100 ,2, 100,Dois
0.102526, 100 ,2, 100,Dois
0.113228, 100 ,2, 100,Dois
0.119557, 100 ,2, 100,Dois
0.099355, 100 ,2, 100,Dois
0.094328, 100 ,2, 100,Dois
0.104997, 100 ,2, 100,Dois
0.107685, 100 ,2, 100,Dois
0.103044, 100 ,2, 100,Dois
0.109392, 100 ,2, 100,Dois
0.112726, 100 ,2, 100,Dois
0.093884, 100 ,2, 100,Dois
0.114923, 100 ,2, 100,Dois
0.103622, 100 ,2, 100,Dois
0.113134, 100 ,2, 100,Dois
0.105407, 100 ,2, 100,Dois
0.115731, 100 ,2, 100,Dois
0.116483, 100 ,2, 100,Dois
0.11583, 100 ,2, 100,Dois
0.09974, 100 ,2, 100,Dois
0.111345, 100 ,2, 100,Dois
0.111114, 100 ,2, 100,Dois
0.125836, 100 ,2, 100,Dois
0.115435, 100 ,2, 100,Dois
0.108945, 100 ,2, 100,Dois
0.107818, 100 ,2, 100,Dois
0.105228, 100 ,2, 100,Dois
0.102461, 100 ,2, 100,Dois
0.115462, 100 ,2, 100,Dois
0.100108, 100 ,2, 100,Dois
0.187771, 200 ,2, 100,Dois
0.216715, 200 ,2, 100,Dois
0.209913, 200 ,2, 100,Dois
0.183961, 200 ,2, 100,Dois
0.205611, 200 ,2, 100,Dois
0.218278, 200 ,2, 100,Dois
0.218752, 200 ,2, 100,Dois
0.229757, 200 ,2, 100,Dois
0.202482, 200 ,2, 100,Dois
0.179206, 200 ,2, 100,Dois
0.205005, 200 ,2, 100,Dois
0.190247, 200 ,2, 100,Dois
0.222004, 200 ,2, 100,Dois
0.219411, 200 ,2, 100,Dois
0.212362, 200 ,2, 100,Dois
0.200684, 200 ,2, 100,Dois
0.212339, 200 ,2, 100,Dois
0.205406, 200 ,2, 100,Dois
0.209012, 200 ,2, 100,Dois
0.208449, 200 ,2, 100,Dois
0.213399, 200 ,2, 100,Dois
0.203421, 200 ,2, 100,Dois
0.197668, 200 ,2, 100,Dois
0.221165, 200 ,2, 100,Dois
0.211768, 200 ,2, 100,Dois
0.20392, 200 ,2, 100,Dois
0.217858, 200 ,2, 100,Dois
0.193287, 200 ,2, 100,Dois
0.222727, 200 ,2, 100,Dois
