Tempo,Corpos,Cores,Movimento,Nucleos
0.385998, 100,2,100, Dois
0.379136, 100,2,100, Dois
0.386022, 100,2,100, Dois
0.38298, 100,2,100, Dois
0.38926, 100,2,100, Dois
0.379022, 100,2,100, Dois
0.379443, 100,2,100, Dois
0.385159, 100,2,100, Dois
0.36954, 100,2,100, Dois
0.376938, 100,2,100, Dois
0.381292, 100,2,100, Dois
0.384558, 100,2,100, Dois
0.389253, 100,2,100, Dois
0.382701, 100,2,100, Dois
0.383845, 100,2,100, Dois
0.376841, 100,2,100, Dois
0.373547, 100,2,100, Dois
0.385865, 100,2,100, Dois
0.384002, 100,2,100, Dois
0.370194, 100,2,100, Dois
0.388301, 100,2,100, Dois
0.384174, 100,2,100, Dois
0.38273, 100,2,100, Dois
0.375905, 100,2,100, Dois
0.3818, 100,2,100, Dois
0.386722, 100,2,100, Dois
0.388811, 100,2,100, Dois
0.390669, 100,2,100, Dois
0.383198, 100,2,100, Dois
0.38467, 100,2,100, Dois
0.383965, 100,2,100, Dois
0.387029, 100,2,100, Dois
0.38247, 100,2,100, Dois
0.375147, 100,2,100, Dois
0.376762, 100,2,100, Dois
0.386912, 100,2,100, Dois
0.373354, 100,2,100, Dois
0.387401, 100,2,100, Dois
0.369004, 100,2,100, Dois
0.380501, 100,2,100, Dois
0.388431, 100,2,100, Dois
0.381996, 100,2,100, Dois
0.384176, 100,2,100, Dois
0.378362, 100,2,100, Dois
0.387141, 100,2,100, Dois
0.371289, 100,2,100, Dois
0.369851, 100,2,100, Dois
0.39025, 100,2,100, Dois
0.388341, 100,2,100, Dois
0.383573, 100,2,100, Dois
1.445011, 200,2,100, Dois
1.464194, 200,2,100, Dois
1.47036, 200,2,100, Dois
1.396669, 200,2,100, Dois
1.452781, 200,2,100, Dois
1.440699, 200,2,100, Dois
1.467972, 200,2,100, Dois
1.465932, 200,2,100, Dois
1.443729, 200,2,100, Dois
1.455281, 200,2,100, Dois
1.461768, 200,2,100, Dois
1.401257, 200,2,100, Dois
1.460079, 200,2,100, Dois
1.469607, 200,2,100, Dois
1.390675, 200,2,100, Dois
1.422976, 200,2,100, Dois
1.452234, 200,2,100, Dois
1.477121, 200,2,100, Dois
1.448422, 200,2,100, Dois
1.459736, 200,2,100, Dois
1.393207, 200,2,100, Dois
1.47719, 200,2,100, Dois
1.485668, 200,2,100, Dois
1.44032, 200,2,100, Dois
1.471732, 200,2,100, Dois
1.463389, 200,2,100, Dois
1.471307, 200,2,100, Dois
1.454772, 200,2,100, Dois
1.465074, 200,2,100, Dois
1.409769, 200,2,100, Dois
1.461513, 200,2,100, Dois
1.455281, 200,2,100, Dois
1.459268, 200,2,100, Dois
1.466447, 200,2,100, Dois
1.38709, 200,2,100, Dois
1.46063, 200,2,100, Dois
1.454783, 200,2,100, Dois
1.446717, 200,2,100, Dois
1.442584, 200,2,100, Dois
1.446663, 200,2,100, Dois
1.456117, 200,2,100, Dois
1.451511, 200,2,100, Dois
1.445753, 200,2,100, Dois
1.455261, 200,2,100, Dois
1.388778, 200,2,100, Dois
1.45382, 200,2,100, Dois
1.467993, 200,2,100, Dois
1.409445, 200,2,100, Dois
1.457926, 200,2,100, Dois
1.439073, 200,2,100, Dois
3.480719, 300,2,100, Dois
3.479027, 300,2,100, Dois
3.49816, 300,2,100, Dois
3.497651, 300,2,100, Dois
3.307386, 300,2,100, Dois
3.338655, 300,2,100, Dois
3.305704, 300,2,100, Dois
3.323353, 300,2,100, Dois
3.485388, 300,2,100, Dois
3.301777, 300,2,100, Dois
3.504627, 300,2,100, Dois
3.505183, 300,2,100, Dois
3.575726, 300,2,100, Dois
3.490117, 300,2,100, Dois
3.287458, 300,2,100, Dois
3.518528, 300,2,100, Dois
3.49203, 300,2,100, Dois
3.485183, 300,2,100, Dois
3.479493, 300,2,100, Dois
3.275104, 300,2,100, Dois
3.315249, 300,2,100, Dois
3.501036, 300,2,100, Dois
3.307698, 300,2,100, Dois
3.496277, 300,2,100, Dois
3.480293, 300,2,100, Dois
3.508292, 300,2,100, Dois
3.487326, 300,2,100, Dois
3.45942, 300,2,100, Dois
3.310556, 300,2,100, Dois
3.339195, 300,2,100, Dois
3.312013, 300,2,100, Dois
3.490999, 300,2,100, Dois
3.30026, 300,2,100, Dois
3.473097, 300,2,100, Dois
3.479493, 300,2,100, Dois
3.497431, 300,2,100, Dois
3.498369, 300,2,100, Dois
3.470777, 300,2,100, Dois
3.32515, 300,2,100, Dois
3.32578, 300,2,100, Dois
3.309799, 300,2,100, Dois
3.488854, 300,2,100, Dois
3.596781, 300,2,100, Dois
3.336171, 300,2,100, Dois
3.477187, 300,2,100, Dois
3.31519, 300,2,100, Dois
3.475303, 300,2,100, Dois
3.493374, 300,2,100, Dois
3.463169, 300,2,100, Dois
3.491405, 300,2,100, Dois
6.468133, 400,2,100, Dois
6.422774, 400,2,100, Dois
6.128302, 400,2,100, Dois
6.129366, 400,2,100, Dois
6.3938, 400,2,100, Dois
